,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value
27,Claudine,Barstowk,Female,71,1966-07-20,Property,High Net Worth,N,Yes,5,1859 Forest Circle,4000,QLD,Australia,11,26,1.46875
28,Blinnie,Roze,Female,84,1960-12-10,Entertainment,High Net Worth,N,No,11,44557 Rutledge Court,4171,QLD,Australia,7,26,1.46875
29,Rhona,De Freyne,Female,45,1960-11-22,Health,High Net Worth,N,No,8,11184 East Drive,3056,VIC,Australia,10,30,1.4609375
30,Sharron,Claibourn,Female,62,1980-01-26,Financial Services,High Net Worth,N,Yes,17,555 Hermina Avenue,2280,NSW,Australia,8,30,1.4609375
31,Brien,Heaton,Male,70,1951-11-28,Health,Mass Customer,N,Yes,12,8 Novick Trail,2470,NSW,Australia,2,32,1.453125
32,Sybilla,MacCart,Female,88,1987-01-15,Financial Services,Mass Customer,N,Yes,7,74 Welch Pass,2620,NSW,Australia,7,32,1.453125
33,Mikel,McNess,Male,71,1981-09-22,,Mass Customer,N,No,9,3 Pleasure Drive,4122,QLD,Australia,9,32,1.453125
34,Maisie,Maddox,Female,27,1977-05-09,Financial Services,Affluent Customer,N,No,20,8 Dennis Point,3226,VIC,Australia,9,32,1.453125
35,Arleen,Casbolt,Female,48,1975-05-10,Financial Services,Affluent Customer,N,Yes,13,41042 Lotheville Crossing,4817,QLD,Australia,1,36,1.44765625
36,Farlie,Petford,Male,76,1968-03-25,,High Net Worth,N,No,13,2330 Butternut Trail,2017,NSW,Australia,10,36,1.44765625
37,Mitchell,MacCague,Male,58,1979-04-11,Manufacturing,Mass Customer,N,No,15,240 Acker Avenue,3190,VIC,Australia,8,38,1.4375
38,Garik,Whitwell,Male,44,1955-06-13,Property,Mass Customer,N,Yes,13,04 Dexter Way,3280,VIC,Australia,2,38,1.4375
39,Antonin,Britt,Male,64,1993-08-28,Manufacturing,Affluent Customer,N,Yes,8,011 Northland Trail,2160,NSW,Australia,9,40,1.434375
40,Vinny,Incogna,Female,73,1953-02-13,Health,High Net Worth,N,No,10,8 Grayhawk Circle,2756,NSW,Australia,8,40,1.434375
41,Colene,Fishleigh,Female,24,1985-03-14,Financial Services,Mass Customer,N,No,3,44 Darwin Lane,3149,VIC,Australia,10,42,1.421875
42,Neile,Argent,Female,79,1946-10-25,Retail,Mass Customer,N,No,8,2548 Arrowood Pass,2024,NSW,Australia,10,42,1.421875
43,Corinna,Suggey,Female,52,1966-09-18,,Affluent Customer,N,No,9,938 Ilene Road,2761,NSW,Australia,8,44,1.42109375
44,Brooke,Arling,Male,76,1961-12-05,,High Net Worth,N,No,6,6 Melby Center,3027,VIC,Australia,5,44,1.42109375
45,Gipsy,Ewestace,Female,29,1956-08-30,Retail,High Net Worth,N,Yes,5,08708 Moulton Park,2034,NSW,Australia,12,46,1.4078125
46,Sheena,Kybbye,Female,14,1956-07-16,Financial Services,Affluent Customer,N,Yes,19,306 Clemons Junction,4852,QLD,Australia,1,46,1.4078125
47,Jobina,Gobourn,Female,85,1994-12-04,,High Net Worth,N,Yes,14,18 Grim Road,4305,QLD,Australia,4,46,1.4078125
48,Gale,Disbrow,Female,59,1977-05-14,Financial Services,Mass Customer,N,Yes,17,169 Bashford Drive,3741,VIC,Australia,7,46,1.4078125
49,Thaxter,Kingsbury,Male,12,1950-05-03,Argiculture,Mass Customer,N,No,20,3 Vermont Lane,2067,NSW,Australia,12,50,1.40625
50,Heinrick,Shilstone,Male,60,1978-02-11,Manufacturing,Affluent Customer,N,No,10,998 Gale Park,3174,VIC,Australia,8,50,1.40625
51,Taylor,Steuhlmeyer,Male,62,1999-03-22,Financial Services,Affluent Customer,N,Yes,5,64 Mcguire Trail,4017,QLD,Australia,8,52,1.39453125
52,Griswold,Kelsall,Male,55,1993-12-19,Health,High Net Worth,N,Yes,11,74127 Blaine Point,3805,VIC,Australia,7,52,1.39453125
53,Odessa,Mc Andrew,Female,97,1981-12-01,Property,Mass Customer,N,No,8,31756 Meadow Valley Lane,2232,NSW,Australia,10,54,1.38125
54,Lavena,Seekings,Female,87,1995-03-25,Retail,Mass Customer,N,No,16,293 Mayfield Street,3166,VIC,Australia,10,54,1.38125
55,Martelle,Tuppeny,Female,52,1981-02-03,Manufacturing,Mass Customer,N,No,9,261 Grayhawk Way,2226,NSW,Australia,10,54,1.38125
56,Briant,Ladley,Male,75,1979-12-17,Argiculture,Mass Customer,N,No,12,2 Schlimgen Terrace,2750,NSW,Australia,8,57,1.375
57,Marylou,Kirkup,Female,51,1972-10-31,,Mass Customer,N,No,14,76733 Sunbrook Terrace,3196,VIC,Australia,9,57,1.375
58,Whittaker,LN_unkown,Male,64,1966-07-29,,Mass Customer,N,Yes,8,683 Florence Way,3156,VIC,Australia,5,57,1.375
59,Normy,Goodinge,U,5,1971-04-20,IT,Mass Customer,N,No,4,7232 Fulton Parkway,3810,VIC,Australia,5,57,1.375
60,Lorrie,Antonelli,Male,47,1983-02-11,Financial Services,High Net Worth,N,Yes,17,06936 Bobwhite Circle,2257,NSW,Australia,7,57,1.375
61,Jedediah,Kedie,Male,31,1971-12-29,Argiculture,Mass Customer,N,Yes,9,283 Acker Drive,2763,NSW,Australia,9,62,1.36796875
62,Kaine,Smallcombe,Male,59,1942-02-06,Financial Services,High Net Worth,N,No,11,9 Mosinee Parkway,2072,NSW,Australia,10,62,1.36796875
63,Loise,Iltchev,Female,70,1967-03-18,Manufacturing,High Net Worth,N,Yes,17,45 Becker Place,4504,QLD,Australia,6,62,1.36796875
64,Cristen,Maroney,Female,22,1999-11-21,IT,High Net Worth,N,Yes,7,27 Karstens Crossing,4214,QLD,Australia,7,65,1.3625
65,Dorothy,Barnardo,Female,58,1983-02-01,Retail,High Net Worth,N,No,12,9630 Cottonwood Avenue,2168,NSW,Australia,8,65,1.3625
66,Rosmunda,Duxbarry,Female,69,1996-07-20,Property,Affluent Customer,N,Yes,5,989 Graedel Terrace,4208,QLD,Australia,11,65,1.3625
67,Rozamond,Riha,Female,54,1984-10-07,Manufacturing,Affluent Customer,N,Yes,16,76 Bartelt Center,4078,QLD,Australia,7,68,1.3546875
68,Gunner,Petti,Male,62,1999-06-08,Financial Services,High Net Worth,N,Yes,3,29778 Mendota Drive,4036,QLD,Australia,5,68,1.3546875
69,Vivienne,Crayden,Female,82,1988-09-18,,High Net Worth,N,Yes,6,69 Algoma Center,4173,QLD,Australia,7,68,1.3546875
70,Sherilyn,Canero,Female,11,1996-08-03,Health,High Net Worth,N,Yes,13,8288 Lyons Way,2484,NSW,Australia,7,68,1.3546875
71,Bessie,Roscow,Female,78,1994-08-04,Financial Services,Mass Customer,N,No,9,4185 Florence Trail,2121,NSW,Australia,10,72,1.35
72,Kevina,Ferandez,Female,73,1999-09-21,Financial Services,High Net Worth,N,No,15,9608 Heffernan Drive,4068,QLD,Australia,9,72,1.35
73,Yancy,Clementet,Male,5,1968-02-16,,High Net Worth,N,No,15,9 Union Center,2147,NSW,Australia,9,72,1.35
74,Mabelle,Wellbelove,Female,76,1958-04-21,Financial Services,Affluent Customer,N,Yes,19,800 Emmet Park,2219,NSW,Australia,9,72,1.35
75,Hasheem,Groucock,Male,98,1974-09-17,Manufacturing,High Net Worth,N,Yes,10,12351 Spenser Pass,2034,NSW,Australia,12,72,1.35
76,Tobias,Woodhams,Male,0,1961-04-15,Health,Mass Customer,N,No,17,4 Valley Edge Plaza,2759,NSW,Australia,9,77,1.34140625
77,Glennis,Flintoff,Female,36,1956-10-22,Health,Affluent Customer,N,Yes,13,1601 Rutledge Lane,3030,VIC,Australia,7,78,1.3375
78,Chanda,Mensler,Female,15,1972-01-14,Manufacturing,Mass Customer,N,Yes,13,0 Mockingbird Plaza,2212,NSW,Australia,10,78,1.3375
79,Katheryn,Kinner,Female,15,1973-11-28,Entertainment,High Net Worth,N,No,6,1665 Kenwood Center,2518,NSW,Australia,6,78,1.3375
80,Sumner,Carrivick,Male,53,1995-04-09,Manufacturing,Mass Customer,N,No,15,5 4th Center,2097,NSW,Australia,12,78,1.3375
81,Valerie,Pickover,Female,34,1965-09-08,Financial Services,Mass Customer,N,No,9,92214 Spenser Road,2756,NSW,Australia,8,78,1.3375
82,Esther,Rooson,Female,14,1981-02-22,Financial Services,Mass Customer,N,No,5,5186 Main Trail,2046,NSW,Australia,9,78,1.3375
83,Gardie,Crellim,Male,58,1975-09-12,Manufacturing,High Net Worth,N,No,8,564 Forest Dale Avenue,3161,VIC,Australia,12,84,1.328125
84,Sean,O'Loughlin,Male,48,1961-03-22,Manufacturing,High Net Worth,N,Yes,16,83 Old Gate Point,2576,NSW,Australia,10,85,1.325
85,Pietra,Buckleigh,Female,9,1949-04-29,,High Net Worth,N,No,13,387 Dixon Alley,2024,NSW,Australia,10,85,1.325
86,Marysa,Rouchy,Female,8,1999-02-15,Entertainment,Affluent Customer,N,No,5,411 Twin Pines Way,2026,NSW,Australia,9,85,1.325
87,Kahaleel,LN_unkown,Male,5,1942-11-01,,High Net Worth,N,No,13,12 Arapahoe Park,2035,NSW,Australia,12,88,1.31484375
88,Ossie,Midden,Male,49,1950-02-10,Manufacturing,Mass Customer,N,Yes,14,4915 Debra Center,2479,NSW,Australia,9,89,1.3125
89,Sid,Carlone,Male,24,1971-08-18,Health,Affluent Customer,N,No,16,76 Sunnyside Avenue,4670,QLD,Australia,2,89,1.3125
90,Ludovico,Juster,Male,93,1992-04-19,,Affluent Customer,N,No,15,1 Talisman Avenue,2125,NSW,Australia,10,89,1.3125
91,Patricia,Everix,Female,34,1978-02-19,Health,Mass Customer,N,No,19,91164 Washington Terrace,2263,NSW,Australia,7,89,1.3125
92,Andromache,Bonafacino,Female,84,1977-09-01,Retail,Mass Customer,N,No,11,74 Carpenter Street,2015,NSW,Australia,9,89,1.3125
93,Levy,Abramamov,Male,94,1952-09-21,,Affluent Customer,N,Yes,14,6776 Anderson Center,4037,QLD,Australia,8,89,1.3125
94,Nobe,McAughtry,Male,25,1978-12-14,,Mass Customer,N,No,12,1 Orin Hill,4510,QLD,Australia,5,89,1.3125
95,Jehu,Prestedge,Male,91,1999-10-20,Manufacturing,High Net Worth,N,Yes,8,88 Annamark Avenue,2138,NSW,Australia,12,96,1.3
96,Symon,Mawne,Male,18,1943-02-08,Property,Mass Customer,N,Yes,15,37439 High Crossing Circle,3350,VIC,Australia,4,96,1.3
97,Karlik,Penchen,Male,60,1994-10-31,Retail,Mass Customer,N,No,11,5 Nevada Point,4017,QLD,Australia,6,96,1.3
98,Bengt,Bilson,Male,26,1972-11-02,Manufacturing,High Net Worth,N,No,11,67 Grayhawk Circle,2232,NSW,Australia,10,99,1.296875
99,Evangelin,Boc,Female,30,2000-05-09,Manufacturing,High Net Worth,N,Yes,14,0 Meadow Ridge Street,3173,VIC,Australia,8,99,1.296875
100,Hanny,Treven,Female,84,1991-01-22,Retail,Mass Customer,N,No,3,5 Quincy Street,4118,QLD,Australia,4,99,1.296875
101,Gina,Mallon,Female,56,1994-02-11,Health,Mass Customer,N,No,12,13025 Johnson Plaza,4670,QLD,Australia,2,102,1.28828125
102,Reynold,Elman,Male,19,1940-01-18,Manufacturing,Mass Customer,N,No,9,966 Sunnyside Center,2390,NSW,Australia,2,102,1.28828125
103,Flossy,Concannon,Female,64,1980-10-20,Financial Services,Affluent Customer,N,No,8,802 Mallory Park,3919,VIC,Australia,2,104,1.2875
104,Cristen,Wiltshire,Female,59,1961-10-20,Financial Services,High Net Worth,N,Yes,15,93 Judy Drive,3047,VIC,Australia,6,104,1.2875
105,Griffith,Escot,Male,50,1946-10-23,IT,Mass Customer,N,Yes,16,94 Manitowish Court,4116,QLD,Australia,3,104,1.2875
106,Jamie,Jiruca,Female,21,1963-06-16,Argiculture,Mass Customer,N,No,18,5013 Erie Crossing,2230,NSW,Australia,9,104,1.2875
107,Lyon,Brittan,Male,14,1972-04-23,Retail,High Net Worth,N,No,19,540 Sachs Road,3153,VIC,Australia,8,104,1.2875
108,Aridatha,Sephton,Female,95,1961-10-22,,Mass Customer,N,No,5,422 Forster Circle,2340,NSW,Australia,1,104,1.2875
109,Michal,Bryan,Female,1,1969-11-09,Manufacturing,Mass Customer,N,Yes,16,4275 Bluestem Pass,4000,QLD,Australia,8,104,1.2875
110,Franciska,Stigell,Female,95,1968-11-15,Health,Mass Customer,N,Yes,7,6 Anderson Junction,3802,VIC,Australia,7,111,1.28125
111,Jordan,Clampe,Male,37,1939-12-09,Financial Services,Mass Customer,N,Yes,11,276 Westend Road,4207,QLD,Australia,5,111,1.28125
112,David,Napoleon,Male,72,1961-11-05,,High Net Worth,N,No,14,69 Garrison Point,2223,NSW,Australia,11,111,1.28125
113,Meriel,Tapp,Female,0,1995-08-13,IT,Mass Customer,N,No,5,65 Milwaukee Hill,3280,VIC,Australia,2,114,1.275
114,Dolley,Starmont,Female,53,1977-11-08,Manufacturing,Affluent Customer,N,No,18,4252 Dovetail Pass,4129,QLD,Australia,6,114,1.275
115,Frederik,Milan,Male,45,1997-11-13,Health,Mass Customer,N,No,5,56 Riverside Street,2546,NSW,Australia,5,114,1.275
116,Rollo,Louedey,Male,64,1946-07-09,Telecommunications,Affluent Customer,N,Yes,17,7 Cascade Park,2089,NSW,Australia,9,114,1.275
117,Jerrine,Cosbey,Female,21,1978-01-11,Financial Services,High Net Worth,N,Yes,6,29307 Russell Avenue,3094,VIC,Australia,9,114,1.275
118,Roddy,Rubinshtein,Male,37,1987-10-08,Retail,Mass Customer,N,Yes,4,3 Mcguire Crossing,4510,QLD,Australia,7,114,1.275
119,Viki,Coutts,Female,2,1952-12-14,Property,Mass Customer,N,Yes,7,6 Golf View Alley,2287,NSW,Australia,4,120,1.2625
120,Ashby,Bispham,Male,71,1981-10-29,Retail,Affluent Customer,N,No,4,83716 Russell Lane,2145,NSW,Australia,8,120,1.2625
121,Alexander,Broadbent,Male,57,1997-05-28,,Mass Customer,N,No,9,265 Stephen Trail,2209,NSW,Australia,10,120,1.2625
122,Teddy,Lagadu,Female,86,1969-07-20,,High Net Worth,N,No,6,2 Charing Cross Trail,2759,NSW,Australia,8,120,1.2625
123,Peria,Rantoull,Female,3,1975-03-13,Financial Services,Mass Customer,N,No,4,8350 Moulton Terrace,4500,QLD,Australia,4,120,1.2625
124,Ludvig,Andren,Male,44,1941-02-22,,High Net Worth,N,Yes,15,578 Waywood Circle,4306,QLD,Australia,5,125,1.26171875
125,Elsworth,Abbitt,Male,71,1956-02-08,Health,Mass Customer,N,Yes,6,9722 Northport Way,3500,VIC,Australia,3,125,1.26171875
126,Rebeca,Aggas,Female,66,1953-02-27,Health,Affluent Customer,N,No,21,7026 Katie Lane,3818,VIC,Australia,1,127,1.25
127,Ricki,Dobrowski,Male,13,1975-03-10,Manufacturing,Mass Customer,N,Yes,9,8 Eggendart Pass,2835,NSW,Australia,1,127,1.25
128,Georgetta,Lovett,Female,42,1940-02-02,Retail,Mass Customer,N,No,12,1 Bluejay Place,4405,QLD,Australia,1,127,1.25
129,Bambi,Cogger,Female,51,1990-07-12,Retail,Affluent Customer,N,Yes,5,28970 Monument Lane,2560,NSW,Australia,7,127,1.25
130,Aurie,Rhead,Female,78,1962-07-28,Manufacturing,Affluent Customer,N,Yes,5,235 Mendota Court,2650,NSW,Australia,2,127,1.25
131,Farris,Skettles,Male,38,1965-07-03,,Mass Customer,N,Yes,13,49309 Redwing Lane,3240,VIC,Australia,7,132,1.2484375
132,Sharline,Abyss,Female,11,1960-03-18,,Mass Customer,N,Yes,15,367 Bay Point,4011,QLD,Australia,4,133,1.2375
133,Nowell,Preddy,Male,29,1985-07-23,Manufacturing,Mass Customer,N,No,9,932 Glendale Avenue,2173,NSW,Australia,9,133,1.2375
134,Lacy,Drance,Female,27,1978-02-05,Manufacturing,Affluent Customer,N,Yes,14,492 Waywood Lane,2750,NSW,Australia,8,133,1.2375
135,Padraig,Snel,Male,89,1970-11-08,,Mass Customer,N,No,19,12683 Mifflin Point,2114,NSW,Australia,7,133,1.2375
136,Malorie,Votier,Female,90,1990-05-29,Manufacturing,Affluent Customer,N,No,4,6160 Weeping Birch Hill,4509,QLD,Australia,5,133,1.2375
137,Shepperd,Ricards,Male,28,1967-09-27,Health,Mass Customer,N,Yes,16,7 Oakridge Lane,2284,NSW,Australia,4,133,1.2375
138,Daryl,Pauncefort,Female,12,1979-06-18,Financial Services,Mass Customer,N,Yes,12,0 Dexter Parkway,2380,NSW,Australia,3,133,1.2375
139,Norina,Blakeway,Female,60,1980-02-11,Property,Mass Customer,N,Yes,3,75813 Lawn Lane,3081,VIC,Australia,8,133,1.2375
140,My,Chaston,Male,92,1966-07-16,Manufacturing,Affluent Customer,N,Yes,16,74613 Northport Park,3765,VIC,Australia,9,133,1.2375
141,Isak,Bergstram,Male,14,2001-03-08,Health,Affluent Customer,N,Yes,15,68 Karstens Pass,2176,NSW,Australia,9,142,1.23515625
142,Grannie,Cracker,Male,28,1949-03-06,Retail,Mass Customer,N,Yes,20,87254 Hermina Pass,4217,QLD,Australia,8,142,1.23515625
143,Welby,Lourenco,Male,6,1975-12-27,Financial Services,High Net Worth,N,Yes,17,801 Atwood Alley,2138,NSW,Australia,9,144,1.234375
144,Glenn,Casbourne,Female,4,1981-08-08,Manufacturing,Mass Customer,N,No,6,2 Morrow Alley,4207,QLD,Australia,1,144,1.234375
145,Nadiya,Balasini,Female,40,1950-11-05,Financial Services,Mass Customer,N,No,15,92934 Mallory Trail,2164,NSW,Australia,9,146,1.225
146,Tyne,Coate,Female,82,1965-07-15,Manufacturing,Mass Customer,N,No,17,90820 Thackeray Street,2218,NSW,Australia,8,146,1.225
147,Christie,Anders,Male,38,1969-10-02,Retail,Mass Customer,N,No,16,48 Ludington Plaza,2153,NSW,Australia,10,146,1.225
148,Agnella,Capener,Female,58,1969-05-21,Health,High Net Worth,N,No,19,49185 Derek Circle,3977,VIC,Australia,6,146,1.225
149,Bernardine,Delmonti,Female,39,1971-03-31,Property,Mass Customer,N,No,17,0721 Meadow Ridge Pass,2540,NSW,Australia,8,146,1.225
150,Daisy,Spowart,Female,60,1967-12-18,Health,Affluent Customer,N,Yes,4,115 Westridge Road,4570,QLD,Australia,3,146,1.225
151,Denys,Minshall,Female,30,1961-12-26,Manufacturing,Affluent Customer,N,Yes,14,7 Myrtle Lane,2324,NSW,Australia,8,152,1.221875
152,Archibald,Blessed,Male,61,1969-02-10,Financial Services,Mass Customer,N,Yes,18,7795 Memorial Drive,2016,NSW,Australia,11,153,1.21875
153,Feodor,Englishby,Male,54,1961-08-14,Health,Mass Customer,N,No,11,24695 Boyd Road,3201,VIC,Australia,5,154,1.203125
154,Skippie,Yearsley,Male,6,1956-09-04,Financial Services,Mass Customer,N,No,9,95306 John Wall Avenue,4350,QLD,Australia,5,155,1.2
155,Bill,LN_unkown,Female,74,1963-04-24,Property,Mass Customer,N,Yes,19,6704 Pine View Lane,2170,NSW,Australia,9,155,1.2
156,Tessa,Friese,Female,89,1976-10-24,Financial Services,Mass Customer,N,No,21,98158 Alpine Point,4212,QLD,Australia,9,157,1.1953125
157,Roseanne,Caruth,Female,16,1957-05-25,Health,Mass Customer,N,No,7,33652 Lyons Alley,2763,NSW,Australia,9,158,1.1875
158,Tedra,Goodbanne,Female,4,1978-01-15,,Mass Customer,N,Yes,6,8 Debs Road,3934,VIC,Australia,9,158,1.1875
159,Roberto,Harme,Male,27,1951-06-11,,High Net Worth,N,No,10,101 Starling Pass,2564,NSW,Australia,9,158,1.1875
160,Nichole,Leisman,Male,37,1986-08-07,Property,Affluent Customer,N,No,4,35151 Bunker Hill Crossing,2068,NSW,Australia,12,158,1.1875
161,Amil,Ennor,Female,23,1995-08-04,Health,Mass Customer,N,Yes,10,2093 Amoth Pass,3109,VIC,Australia,11,158,1.1875
162,Shawna,Hinrichsen,Female,60,1969-08-27,Manufacturing,Affluent Customer,N,Yes,9,57343 Eagan Avenue,2326,NSW,Australia,2,163,1.18203125
163,Fonsie,Levane,Male,96,1951-07-10,,High Net Worth,N,Yes,19,83 Armistice Terrace,4011,QLD,Australia,3,163,1.18203125
164,Emilie,Brody,Female,3,1979-05-22,,Mass Customer,N,Yes,3,5388 Burrows Alley,2073,NSW,Australia,11,163,1.18203125
165,Robert,Corkill,Male,55,1976-03-12,Health,Mass Customer,N,No,4,5612 Toban Point,2227,NSW,Australia,10,166,1.175
166,Elvira,Kurten,Female,65,1973-03-18,Financial Services,High Net Worth,N,No,12,65 Ridge Oak Court,2471,NSW,Australia,3,166,1.175
167,Juliana,Mitchenson,Female,55,1989-01-05,Manufacturing,Mass Customer,N,Yes,8,74 Russell Terrace,4350,QLD,Australia,4,166,1.175
168,Regine,Bownes,Female,99,1952-07-01,Retail,Affluent Customer,N,No,15,255 Loeprich Lane,3752,VIC,Australia,9,166,1.175
169,Abner,Fraschetti,Male,33,1986-01-23,Argiculture,Affluent Customer,N,No,13,67 Northport Avenue,3805,VIC,Australia,7,166,1.175
170,Alvira,Coulman,Female,42,1955-06-05,,Affluent Customer,N,No,14,823 Wayridge Trail,2205,NSW,Australia,9,166,1.175
171,Sawyer,Sponton,Male,36,1956-02-22,Property,Mass Customer,N,Yes,10,5 Golf Terrace,2126,NSW,Australia,11,166,1.175
172,Feodor,Vickers,Male,60,1989-11-18,Financial Services,Mass Customer,N,Yes,4,40809 Truax Way,2209,NSW,Australia,6,173,1.171875
173,Paten,Cayet,Male,56,1995-02-19,Manufacturing,Affluent Customer,N,Yes,16,1398 Burning Wood Way,3850,VIC,Australia,1,174,1.16875
174,Loria,Tappington,Female,72,1955-09-06,Property,Mass Customer,N,No,5,3920 Swallow Junction,3038,VIC,Australia,8,174,1.16875
175,Tanya,Kiefer,Female,54,1992-07-05,Telecommunications,High Net Worth,N,No,7,4 Warner Park,2146,NSW,Australia,9,174,1.16875
176,Devonne,Alderwick,Female,79,1939-01-29,,High Net Worth,N,Yes,9,534 Lien Lane,3122,VIC,Australia,7,177,1.1625
177,Omero,McDonand,Male,51,1952-04-01,Manufacturing,Mass Customer,N,No,16,48 Shoshone Park,2066,NSW,Australia,9,177,1.1625
178,Iain,Haversham,Male,92,1950-12-26,Retail,Mass Customer,N,Yes,13,170 Briar Crest Place,2120,NSW,Australia,10,177,1.1625
179,Keriann,Newham,Female,71,1975-03-26,Financial Services,Mass Customer,N,No,5,0193 Northland Street,4179,QLD,Australia,9,177,1.1625
180,Conroy,Rappaport,Male,39,1965-01-08,Health,High Net Worth,N,No,9,5219 Pearson Drive,2148,NSW,Australia,9,181,1.158125
181,Dorian,Rustman,Male,78,1974-12-09,Manufacturing,Mass Customer,N,No,18,6156 Summit Center,4352,QLD,Australia,7,181,1.158125
182,Quillan,Guinane,Male,36,1946-03-24,,High Net Worth,N,Yes,21,803 Badeau Point,2177,NSW,Australia,8,181,1.158125
183,Harlin,Mazin,Male,34,1974-03-25,Manufacturing,Mass Customer,N,Yes,13,735 Westridge Road,2454,NSW,Australia,7,181,1.158125
184,Eustacia,Dornan,Female,68,1985-09-02,Property,Mass Customer,N,No,5,1190 Hanson Street,3806,VIC,Australia,9,181,1.158125
185,Maury,Galego,Male,65,1992-07-27,Health,High Net Worth,N,Yes,3,370 Division Junction,3032,VIC,Australia,10,181,1.158125
186,Reggie,Kernar,Female,26,1971-11-28,Financial Services,High Net Worth,N,No,17,90 Northport Hill,2228,NSW,Australia,10,181,1.158125
187,Brigitte,Whellams,Female,67,1973-05-09,,Mass Customer,N,Yes,17,77785 Veith Lane,2766,NSW,Australia,8,188,1.15625
188,Kinna,Kollasch,Female,7,1986-11-09,Property,High Net Worth,N,No,9,232 Knutson Park,4060,QLD,Australia,10,188,1.15625
